Country,Year,Expenditure_Total,Revenue_Total,Expenditure_Interest,Total_Debt,SFA,IR,Surplus,Primary_Surplus
Netherlands,1961,NA,NA,NA,17.8102306075045,NA,NA,NA,NA
Netherlands,1962,NA,NA,NA,18.9037108246244,NA,NA,NA,NA
Netherlands,1963,NA,NA,NA,20.055525237427503,NA,NA,NA,NA
Netherlands,1964,NA,NA,NA,22.1303925113349,NA,NA,NA,NA
Netherlands,1965,NA,NA,NA,24.5609839981339,NA,NA,NA,NA
Netherlands,1966,NA,NA,NA,27.188310419393797,NA,NA,NA,NA
Netherlands,1967,NA,NA,NA,30.039823161318502,NA,NA,NA,NA
Netherlands,1968,NA,NA,NA,33.4254941264596,NA,NA,NA,NA
Netherlands,1969,23.1732993840319,22.270907060188097,1.45173137973138,36.3296220252749,2.0017355749715016,4.343185995213727,-0.9023923238438023,0.5493390558875777
Netherlands,1970,26.6318490503233,25.427834497033903,1.7172669922669899,39.3801573171775,1.8465207386132008,4.726905749452249,-1.2040145532893973,0.5132524389775925
Netherlands,1971,31.223155715753,29.697319783805902,1.91513715913716,43.049492606425105,2.1434993573005094,4.863203424283385,-1.5258359319470962,0.38930122719006377
Netherlands,1972,35.0292123627599,34.155619284100396,2.03611477411478,45.9867909302368,2.0637052451521924,4.729706788253507,-0.8735930786595034,1.1625216954552764
Netherlands,1973,39.9476221360146,40.0860448400258,2.33343264143264,48.329309219631696,2.4809409934060938,5.074136712371429,0.13842270401119805,2.471855345443838
Netherlands,1974,47.1501891138052,46.609231510928396,2.8450244200244197,52.117600515762604,3.247333693254106,5.886747536769574,-0.5409576028768015,2.304066817147618
Netherlands,1975,57.3338982834436,53.639228430795,3.20180586080586,57.825201230645895,2.0129308622346898,6.143425309531463,-3.6946698526486017,-0.49286399184274154
Netherlands,1976,65.1632445901207,62.510875676821506,3.66521164021164,64.7200743988455,4.24250425490041,6.338433005347105,-2.652368913299192,1.012842726912448
Netherlands,1977,70.2547160379979,69.22285728043221,4.04249776149776,70.03420524480701,4.282272088395828,6.246126567447011,-1.0318587575656863,3.0106390039320736
