Country,Year,Revenue_Taxes_Direct,Revenue_Social_Contribution,Revenue_Taxes_Indirect,Revenue_Total,Revenue_Capital_Transfers,Revenue_Others
France,2012,258.7105,385.6016,321.2631,1100.9659,7.1726,128.2181
France,2013,270.6396,397.3552,330.661,1137.6462,7.8803,131.1101
France,2014,272.4581,407.2368,338.98,1159.1451,8.436,132.0342
France,2015,278.5416,411.4915,349.757,1182.3268,10.014,132.5227
France,2016,278.5872,416.5228,358.248,1196.6229,9.9705,133.2944
France,2017,293.92380000000003,429.0751,374.586,1244.3869,12.5487,134.2533
France,2018,311.4604,422.9873,389.537,1273.0161,13.6874,135.344
France,2019,318.194,406.074,409.021,1287.9292,16.025,138.61520000000002
France,2020,306.198,390.712,390.305,1223.2726,9.044,127.01360000000001
France,2021,324.072,417.675,416.396,1326.2748,23.85,144.2818
France,2022,359.122,442.264,441.198,1424.9695,28.076,154.3095
France,2023,357.272,462.272,443.463,1455.038,28.909,163.12199999999999
France,2024,367.35877064488596,478.981284899189,455.556933962596,1501.56259092397,29.7672514012163,169.8983500160803
