Country,Year,Revenue_Taxes_Indirect,Revenue_Capital_Transfers,Revenue_Social_Contribution,Revenue_Total,Revenue_Taxes_Direct,Revenue_Others
Italy,1961,1.57116262091966,0.0285403730599388,1.46732134203796,4.0503965413789,0.6481951335524381,0.33517707180890405
Italy,1962,1.74799463646948,0.0355298521766586,1.73320394284532,4.68908364582363,0.811244218072573,0.36111099625961024
Italy,1963,1.9365138254608099,0.0384421351419584,2.17439375297621,5.46624598263612,0.898770567124792,0.4181257019323579
Italy,1964,2.13976901574796,0.041354418107258296,2.51390538169944,6.1957090623698905,1.0808253731534099,0.41985487366182556
Italy,1965,2.2901778565604403,0.041354418107258296,2.55188861038621,6.54573905523551,1.20186181012848,0.4604563600531215
Italy,1966,2.45684711259591,0.05708074611987771,2.73128632126062,7.09071385075675,1.29789071880291,0.547608951977429
Italy,1967,2.8470970779472298,0.0664000516088373,3.12981804378945,8.05581928888242,1.37741465879893,0.635089456737971
Italy,1968,3.01833957576416,0.0640702252365974,3.57509835547122,8.89175480004631,1.60448301576869,0.629763627805649
Italy,1969,3.2500504926915004,0.073971987318617,3.74689942060828,9.53953241057082,1.74402502368623,0.724585486266186
Italy,1970,3.5711936933452,0.175319434511053,4.38618637727476,10.7217810608843,1.72001779651762,0.869063759235621
Italy,1971,3.78308722921955,0.15027380100947402,4.9670375975000605,11.904766762249599,1.94858660518541,1.055781529335116
Italy,1972,3.8745520648487703,0.138042212555215,5.46257264252124,12.945138195347601,2.3562093164857503,1.113761958936667
Italy,1973,4.46348397870578,0.129887820252375,6.62719686979391,15.2639227732332,2.69981275533646,1.3435413491447081
Italy,1974,5.52345979605326,0.311614277287087,8.301380718833629,19.079175666949798,3.3184990054941603,1.624221869281631
Italy,1975,5.5702084898193,0.153186083974774,10.2665745353504,21.9601248137187,4.1847597858281205,1.7853959187460748
Italy,1976,7.63274053325814,0.357628348138825,12.803269854261998,28.916321104148,6.00930905064239,2.1133733178467073
Italy,1977,9.901068456862712,0.7181689792429511,15.3049037313087,36.636664529309094,8.16545814072307,2.547065221171622
Italy,1978,11.3660302408574,0.27084231577288903,18.1624112432823,44.2662130944244,11.1353522017064,3.331577092805503
Italy,1979,12.8797732705209,0.25103879160885,22.9225863337806,53.333373079923,13.2249812665074,4.054993417505347
Italy,1980,17.3417328352995,0.474119666750821,28.6101365616004,70.5932636042257,18.899689588487302,5.26758495208772
Italy,1981,19.498953591486803,0.8232077758141889,33.0111450505647,84.31721479786749,24.5098942866942,6.4740140933074795
Italy,1982,25.094666057560502,2.3986054026760897,40.459399128958395,108.26072594415801,32.6641918106122,7.6438635443512695
Italy,1983,31.377662214817402,4.02701640999748,48.915556802244005,133.270239188335,39.6804478110793,9.26955595019718
