Country,Year,Expenditure_Total,Total_Debt,Revenue_Total,Expenditure_Interest,SFA,IR,Surplus,Primary_Surplus
Italy,1961,4.1618981469823,6.2644878911397,4.0503965413789,0.159428116310381,NA,NA,-0.11150160560339994,0.04792651070698106
Italy,1962,4.8471751241909,7.1443017068215,4.68908364582363,0.17175722397171803,0.7217223373145298,2.7417600122532955,-0.15809147836727,0.013665745604448026
Italy,1963,5.67249777891659,8.65206868162753,5.46624598263612,0.17898463191112102,1.3015151785255599,2.5052781819141745,-0.20625179628046997,-0.02726716436934895
Italy,1964,6.352230095587809,9.7599644020917,6.1957090623698905,0.18493661492004299,0.9513746872462523,2.1374843603906157,-0.15652103321791877,0.028415581702124215
Italy,1965,7.33096162990734,11.109044604847,6.54573905523551,0.205343413807771,0.5638576280834693,2.1039360939038154,-0.7852225746718302,-0.5798791608640592
Italy,1966,7.92985504222272,12.265953670806999,7.09071385075675,0.260186685818543,0.31776787449403,2.342115772089173,-0.8391411914659699,-0.5789545056474269
Italy,1967,8.60233420085401,13.8494244267748,8.05581928888242,0.32140708248172895,1.0369558439962105,2.620318738417206,-0.54651491197159,-0.22510782948986102
Italy,1968,9.62934053852139,15.7784150044555,8.89175480004631,0.352867564100311,1.191404839205621,2.547886130329861,-0.7375857384750795,-0.38471817437476846
Italy,1969,10.451437560622999,17.5424101616554,9.53953241057082,0.406860552824094,0.8520900071477211,2.5785895016020617,-0.9119051500521795,-0.5050445972280855
Italy,1970,11.8812930628163,19.903785797125703,10.7217810608843,0.472757507565718,1.201863633538304,2.6949404512219317,-1.1595120019319989,-0.6867544943662809
Italy,1971,13.754227666459999,23.371601311114702,11.904766762249599,0.590946884457147,1.6183546097785992,2.9690175049134893,-1.8494609042103995,-1.2585140197532525
Italy,1972,15.8787297343216,28.299626296359403,12.945138195347601,0.728267635305823,1.9944334462706994,3.1160365334466182,-2.9335915389739995,-2.2053239036681767
Italy,1973,18.548770543943803,36.4144893001271,15.2639227732332,0.9646463890886801,4.830015233057097,3.4086894964149286,-3.284847770710604,-2.320201381621924
Italy,1974,23.155004311213002,45.7954495157613,19.079175666949798,1.44633187116778,5.305131571370993,3.9718581777905966,-4.075828644263204,-2.629496773095424
Italy,1975,29.6212797339335,61.43992706123829,21.9601248137187,2.1189059511758397,7.983322625262197,4.626891915203456,-7.661154920214798,-5.542248969038958
Italy,1976,36.2916550071823,76.94561434125191,28.916321104148,3.01085311922699,8.130353376979315,4.900482899704647,-7.375333903034299,-4.364480783807309
Italy,1977,44.5490906734189,97.5501453947727,36.636664529309094,3.97805035817664,12.692104909410979,5.1699507401865485,-7.9124261441098085,-3.9343757859331685
Italy,1978,55.601686182387,121.673931711021,44.2662130944244,5.54299674787935,12.788313228285702,5.682202446185566,-11.335473087962598,-5.7924763400832475
Italy,1979,66.8067454978588,146.61104839410999,53.333373079923,6.69257975188807,11.463744265153196,5.500422035989709,-13.4733724179358,-6.780792666047729
Italy,1980,84.84400637108651,178.64442399982102,70.5932636042257,9.00152401770589,17.78263283885022,6.13973102048121,-14.25074276686081,-5.24921874915492
Italy,1981,110.95990779678101,224.364655015069,84.31721479786749,12.406965626537001,19.077538016334472,6.945061787402573,-26.642692998913517,-14.235727372376516
Italy,1982,137.212827849955,275.67434853943104,108.26072594415801,18.887902945516203,22.357591618565067,8.418395020484681,-28.952101905796994,-10.064198960280791
Italy,1983,167.322956323575,269.128397872177,133.270239188335,26.148712388655103,-40.59866780249402,9.485362902713062,-34.05271713523999,-7.904004746584885
Italy,1984,192.193708718446,318.72650654937405,147.97999472897,32.0897382370622,5.384394687721056,11.9235794107106,-44.21371398947599,-12.123975752413791
Italy,1985,218.767515786373,386.270778887755,165.246763201346,36.1940652494672,14.023519753353952,11.355837843960543,-53.520752585027,-17.326687335559797
Italy,1986,244.808282451411,446.225747164666,187.67555800897298,41.703161921416495,2.8222438344729994,10.796354319500534,-57.13272444243802,-15.429562521021523
Italy,1987,264.32544604187797,506.447619798237,204.143014367006,41.0512688125034,0.03944095869900366,9.199663863715752,-60.182431674871964,-19.131162862368562
