Country,Year,GDP,GDP_r,GDPPOT,Deflator,pi,GDP_alt,Deflator_alt
Germany,1960,NA,NA,NA,NA,NA,NA,NA
Germany,1961,NA,NA,NA,NA,NA,NA,NA
Germany,1962,NA,NA,NA,NA,NA,NA,NA
Germany,1963,NA,NA,NA,NA,NA,NA,NA
Germany,1964,NA,NA,NA,NA,NA,NA,NA
Germany,1965,NA,NA,NA,NA,NA,NA,NA
Germany,1966,NA,NA,NA,NA,NA,NA,NA
Germany,1967,NA,NA,NA,NA,NA,NA,NA
Germany,1968,NA,NA,NA,NA,NA,NA,NA
Germany,1969,NA,NA,NA,NA,NA,NA,NA
Germany,1970,NA,NA,NA,NA,NA,403.8984884870741,32.0390368635143
Germany,1971,NA,NA,NA,NA,NA,448.29820031077804,34.4793689171425
Germany,1972,NA,NA,NA,NA,NA,488.7664543014549,36.0405137405433
Germany,1973,NA,NA,NA,NA,NA,544.3781014267552,38.3140249390778
Germany,1974,NA,NA,NA,NA,NA,589.181039694872,41.0998913619397
Germany,1975,NA,NA,NA,NA,NA,617.171675377878,43.4288523570082
Germany,1976,NA,NA,NA,NA,NA,669.131883034327,44.8631090593589
Germany,1977,NA,NA,NA,NA,NA,712.97155812968,46.2592926780033
Germany,1978,NA,NA,NA,NA,NA,760.4626726938841,47.8961770062727
Germany,1979,NA,NA,NA,NA,NA,825.908564769035,49.9419625231183
Germany,1980,NA,NA,NA,NA,NA,883.20032207939,52.6714353868984
Germany,1981,NA,NA,NA,NA,NA,924.945459810708,54.8669727781481
Germany,1982,NA,NA,NA,NA,NA,963.498388190422,57.3823491997492
Germany,1983,NA,NA,NA,NA,NA,1006.12838395254,58.9955287115263
Germany,1984,NA,NA,NA,NA,NA,1055.10919621415,60.1670795613538
Germany,1985,NA,NA,NA,NA,NA,1102.61151151293,61.4473640345116
Germany,1986,NA,NA,NA,NA,NA,1161.6617841503,63.2885476582668
Germany,1987,NA,NA,NA,NA,NA,1193.02384093799,64.0984287111983
Germany,1988,NA,NA,NA,NA,NA,1258.16731317983,65.1838606909082
Germany,1989,NA,NA,NA,NA,NA,1344.82739652493,67.054911612668
Germany,1990,NA,NA,NA,NA,NA,1463.57758440458,69.3400072369231
Germany,1991,1591.61,2238.509,2153.479,71.10134468970195,NA,1585.8,71.4736581593815
Germany,1992,1709.89,2283.597,2222.924,74.87704704464053,0.05174114627187176,1702.06,75.2686605359121
Germany,1993,1757.34,2261.371,2280.444,77.71126453819386,0.03715282606104697,1750.89,78.1918936120538
Germany,1994,1838.02,2320.112,2327.94,79.2211755294572,0.01924340926284973,1829.55,79.7906938204868
Germany,1995,1899.93,2355.039,2367.507,80.67509710030279,0.018186310655567084,1894.61,81.3742500736613
Germany,1996,1928.56,2379.488,2403.296,81.04936860366601,0.004628516407918504,1921.38,81.8564139949576
Germany,1997,1967.18,2423.623,2437.408,81.1669141611546,0.00144924511964728,1961.15,82.0850227081922
Germany,1998,2022.31,2474.426,2473.639,81.72844934542395,0.0068944553913796724,2014.42,82.6450189736475
Germany,1999,2077.24,2527.134,2513.543,82.19746163044776,0.005722262722477112,2059.48,82.9286984332023
Germany,2000,2129.66,2599.846,2555.259,81.91485187968826,-0.003444105126193975,2109.09,82.5303257621916
Germany,2001,2195.53,2642.393,2594.891,83.08870028038979,0.01422839919272434,2172.54,83.6024338892555
Germany,2002,2223.36,2636.361,2630.111,84.33442916201537,0.014881478747304833,2198.12,84.7570480000686
Germany,2003,2240.81,2622.39,2662.444,85.44915134667231,0.013131283943444316,2211.57,85.8794258995181
Germany,2004,2293.04,2652.872,2694.485,86.43613412181215,0.011484329448847141,2262.52,86.8298999141026
Germany,2005,2325.71,2676.368,2727.868,86.89799011197265,0.00532909587459951,2288.31,87.1868035549394
Germany,2006,2426.18,2779.562,2766.656,87.28641419043718,0.004459925374640683,2385.08,87.5356112697724
Germany,2007,2542.22,2859.894,2805.899,88.89210579133352,0.018228511196848984,2499.55,89.0803553506171
Germany,2008,2589.68,2885.931,2842.994,89.73464715545866,0.009433610571472961,2546.49,89.8904131635828
Germany,2009,2494.87,2725.901,2866.627,91.52460048989307,0.019750843557893916,2445.73,91.5485415589627
Germany,2010,2616.06,2838.938,2881.855,92.14924735939988,0.00680172256433309,2564.4,92.1342738284591
Germany,2011,2747.81,2945.624,2907.148,93.28447894232258,0.01224422103190026,2693.56,93.1295686331325
Germany,2012,2800.38,2959.595,2953.515,94.6203788018293,0.014219136041307756,2745.31,94.5158357660936
Germany,2013,2867.28,2971.026,2999.216,96.50807498823639,0.01975380988238218,2811.35,96.3727806194757
Germany,2014,2985.17,3035.482,3047.067,98.34253670422028,0.018829973415689594,2927.43,98.1750753750641
Germany,2015,3085.65,3085.65,3098.851,100,0.016713529093749457,3026.18,100
Germany,2016,3196.11,3156.457,3146.95,101.25625028314975,0.012484249284868021,3134.74,101.327752229999
Germany,2017,3331.11,3242.187,3189.621,102.74268572417323,0.014573230403402526,3267.16,102.851457155791
Germany,2018,3431.13,3278.384,3233.272,104.65918574517201,0.01848155523716777,3365.45,104.913718481282
Germany,2019,3534.88,3310.771,3267.237,106.76908792544093,0.019959224816675558,3474.11,107.153732035823
Germany,2020,3449.62,3175.19,3288.624,108.64294735118213,0.017398347233371858,3403.73,109.163027257595
Germany,2021,3676.46,3291.72,3308.121,111.68811442042458,0.027643501187044173,3617.45,112.453898493367
Germany,2022,3953.85,3336.808,3330.749,118.49198395592434,0.059135018194907296,3876.81,118.381071116265
Germany,2023,4185.55,3327.917,3357.127,125.77086507866633,0.05961640794913414,NA,NA
Germany,2024,4304.177,3324.208,3376.562,129.4797738288338,0.029062961996592307,NA,NA
Germany,2025,4436.645,3347.256,3392.925,132.5457329824788,0.023403058167626334,NA,NA
Germany,2026,4596.651,3392.069,3411.356,135.51171865902492,0.02213038068974882,NA,NA
