Country,Year,CBR,CDR,NetMigrations,CNMR,TPopulation1July,TFR,NetMigrations_smooth,D_UN,D_Y_UN,D_R_UN,D_UN_alt,D_Y_UN_alt,D_R_UN_alt,N_Y,N_M1,N_M2,N_R,FAT_Y,FAT_M1,FAT_M2,FAT_R,mu_Y,mu_M1,mu_M2,mu_R,MY,nu_t,N,p_y,p_m1,p_m2
Italy,1960,18.257,9.697,-140.765,-2.843,49514.555,2.3843,-140.765,72.203,55.835,16.368,62.377,52.649,9.728,16054.527,17541.349000000006,11212.3245,4706.3545,54.123,32.38149999999996,100.01850000000007,293.614,0.0033696085749169956,0.0018481528530822193,0.009066862450497294,0.06375815098018053,0.6391939696314118,0.018257000000000002,49514.55500000001,0.053047375956529454,0.03758713170424092,0.034215220237182764
Italy,1961,18.393,9.399,-129.761,-2.605,49815.249,2.4203,-129.761,72.288,55.654,16.635,62.356,52.445,9.911,16091.6245,17612.9825,11300.9315,4809.711000000001,51.858,31.896500000000003,99.5455,284.902,0.0032301169632714807,0.0018183607201475778,0.008878221460679273,0.06053560138744329,0.6416250910372506,0.018393,49815.2495,0.051185918471157804,0.033547859410072135,0.035703765986705924
Italy,1962,18.474,10.139,-25.84,-0.515,50170.59,2.4513,-25.84,72.576,55.683,16.893,62.506,52.434,10.072,16187.874000000002,17802.614500000003,11269.009500000002,4911.0914999999995,52.788,32.11450000000002,106.7305,317.03,0.003280464318565226,0.00182334252588964,0.0094443984551185,0.0659145632658594,0.6329974454033142,0.018474,50170.58950000001,0.04792862394116879,0.029731643647689522,0.039718355895086224
Italy,1963,18.851,10.218,-28.198,-0.558,50570.976,2.5195,-28.198,72.918,55.821,17.097,62.713,52.527,10.186,16325.292999999998,18077.4355,11168.202499999998,5000.045499999998,52.283,32.88299999999998,108.73000000000002,322.84,0.0032297632165903933,0.0018470882465044657,0.00964858535259909,0.0657369140851886,0.6177979448467675,0.018851,50570.9765,0.04670556384763702,0.023601127950307808,0.036581634141359974
Italy,1964,19.725,9.608,-27.368,-0.536,51019.579,2.6625,-27.368,73.493,56.137,17.356,63.098,52.774,10.324,16508.463,18314.3245,11092.997500000001,5103.793500000002,49.317,30.315000000000055,105.59399999999994,304.956,0.003020895245187943,0.0016769524637496318,0.00945487870586157,0.06099064498513066,0.605700608832174,0.019725000000000003,51019.5785,0.046861364844263426,0.026024350160867852,0.039403342790614734
Italy,1965,19.175,10.05,-36.267,-0.704,51480.728,2.6171,-36.267,74.275,56.591,17.684,63.581,53.119,10.462,16717.044000000005,18365.676499999998,11174.281999999997,5223.725,46.987,29.613499999999988,109.30950000000001,331.455,0.002846237108808979,0.001616958354101457,0.009853919105273395,0.06494287043549075,0.6084329101626068,0.019175,51480.7275,0.04377950980278988,0.033061547955945396,0.03740250709850968
Italy,1966,18.768,9.551,-35.352,-0.681,51919.067,2.588,-35.352,74.732,56.718,18.014,63.744,53.151,10.592,16852.966,18358.7125,11354.7945,5352.594000000002,44.846,27.90700000000004,105.483,317.667,0.002682651310841796,0.0015195193054827053,0.00943980114337548,0.06081235133932203,0.6184962316938074,0.018768,51919.067,0.04698332394889926,0.03970054104568384,0.039656399732886496
Italy,1967,18.026,9.747,-37.992,-0.726,52338.334,2.5086,-37.992,74.773,56.445,18.327,63.555,52.822,10.733,16903.402,18420.7015,11525.809,5488.421500000001,41.92,28.60699999999997,106.923,332.677,0.0024873959871514607,0.0015582247393437839,0.00941655086756524,0.06215248158182741,0.6256987009968106,0.018026,52338.334,0.050052738594619124,0.038943313794036906,0.038486967046564145
Italy,1968,17.754,10.119,-50.149,-0.951,52712.156,2.4898,-50.149,74.681,56.074,18.607,63.254,52.406,10.848,16921.082499999997,18482.366,11693.8385,5614.868499999999,41.087,29.052999999999997,109.21000000000004,354.051,0.002430694128909672,0.0015771929206930583,0.009475256791085124,0.06450871165780542,0.6327024635265852,0.017754000000000002,52712.15549999999,0.05149539020819602,0.03960656882887968,0.039245946365760155
Italy,1969,17.49,10.158,-45.346,-0.855,53060.137,2.4698,-45.346,74.754,55.829,18.925,63.077,52.099,10.978,16951.311999999998,18521.710499999997,11841.0535,5746.060999999999,39.405,30.201499999999953,113.87050000000005,355.518,0.002328751721410259,0.0016340710924131656,0.009737649446757798,0.06331724420616441,0.6393066936231403,0.01749,53060.136999999995,0.050369182922841954,0.039897981659653504,0.04073286968132855
Italy,1970,16.862,9.768,-62.216,-1.165,53390.236,2.3959,-62.216,75.055,55.703,19.352,63.111,51.903,11.208,16989.04,18533.763,11965.3565,5902.076000000001,36.664,29.056500000000028,106.6825,349.109,0.0021629004291821192,0.0015687805939953565,0.009009544632156252,0.06075622935433509,0.6455977936051087,0.016862,53390.2355,0.04839200824655901,0.0387104112276236,0.041043436725794136
Italy,1971,16.771,9.747,-58.627,-1.092,53707.795,2.3983,-58.627,75.477,55.64,19.837,63.267,51.768,11.499,17029.470499999996,18532.672000000002,12074.125499999996,6071.526500000004,35.551,28.573000000000036,105.75199999999995,353.624,0.002092584395586802,0.001541672891792133,0.008838182130219016,0.05991518916394841,0.6515048396690987,0.016771,53707.7945,0.048232633484323245,0.03956655427019883,0.04335818490410261
Italy,1972,16.318,9.701,43.182,0.799,54067.562,2.3509,43.182,76.104,55.8,20.304,63.624,51.845,11.778,17131.7055,18525.566,12176.5625,6233.728500000002,33.145,28.618499999999983,105.85950000000003,356.909,0.0019463318016846155,0.0015442187721230905,0.008767467258808935,0.05878406361233864,0.6572842362819037,0.016318000000000003,54067.56250000001,0.043514200318265556,0.04115398419887846,0.045916103046220076
