Country,Year,Revenue_Social_Contribution,Revenue_Taxes_Indirect,Revenue_Total,Revenue_Taxes_Direct,Revenue_Capital_Transfers,Revenue_Others
France,1966,10.5067014102406,13.916597999756,34.3295652514124,4.574203617317569,0.520945818383893,4.811116405714309
France,1967,11.638455420821899,14.6570050564324,36.969304616808195,4.832148925650659,0.563205917310816,5.278489296592466
France,1968,13.4714428962963,15.5034269835671,41.027488538473804,5.63840203280742,0.614391017038053,5.79982560876484
France,1969,15.728850626335399,17.6778299104276,47.7986770416499,6.78831704651743,0.706741818131076,6.89693764023847
France,1970,17.6716433420341,18.5201589847481,52.8818126007233,7.881551711056329,0.7905953140223909,8.01786324886243
France,1971,19.9710530765305,20.1478166710238,57.9924097376892,8.246791925978231,0.881757372936936,8.744990691219641
France,1972,22.518374642098,22.6521434649889,65.06324203357039,9.42285945167421,0.984247075573372,9.48561739923591
France,1973,25.7680297250563,26.026550871869,74.3791495063309,10.6559056441685,1.1289591392898,10.799704125947299
France,1974,30.8197708087812,28.107916266462798,87.7422008198066,14.315865173277,1.31684329990076,13.1818052713849
France,1975,38.1493205961386,33.551210858136905,102.271666172181,14.346790767298401,1.48357539730422,14.74076855330236
France,1976,45.6920805585036,40.505866220753404,123.27603332011,18.8551656282102,1.71463165480972,16.508289257833052
France,1977,53.3717470544451,43.188282024980104,138.185182781741,21.3660056572813,1.92970593413792,18.32944211089584
France,1978,60.78280073140429,50.710346543609596,157.11709556687,23.079740986430302,2.19266325158647,20.351544053838822
France,1979,73.171491955653,60.4349648304077,186.50556706159298,27.3830721982354,2.5045980047165197,23.01144007258094
France,1980,84.9403535998377,67.3476934080971,214.502043584215,33.0888940147937,2.84147118502996,26.28363137645634
France,1981,95.53364712785921,76.4604277195853,244.558399954131,38.0778780348549,3.20762264492442,31.278824426907903
France,1982,112.924128998179,89.4694830180779,287.299675700854,44.5328573592677,3.68566053134232,36.68754579398745
France,1983,127.643536856099,99.1568222455771,322.45695240540005,50.0798395920357,4.0914870476486005,41.48526666404055
France,1984,141.411918362168,110.224212584401,356.59357824453497,56.081820367423,4.44696498650138,44.42866194404082
France,1985,151.280191800714,118.67540175780299,383.24746317109805,59.294810076073404,4.7655919178213795,49.2314676186856
France,1986,159.06140740928,125.644609904346,406.632698530131,63.6577961012342,5.12351652708384,53.145368588188404
France,1987,169.158687193329,133.586149500068,430.252628371475,67.5477836414303,5.383825905605719,54.5761821310424
France,1988,180.35899754109101,141.90343074521797,455.386703053726,69.8147763801512,5.81927034211544,57.4902280451515
France,1989,195.11540642426598,148.5868354031,488.37536095126,75.630757751303,6.271533279076199,62.7708280935149
France,1990,206.769729352196,156.204597620062,518.126525057849,81.8137379469411,6.62642628130149,66.7120338573479
France,1991,214.380940250126,160.694510468129,540.687601910096,86.3537234051647,6.86643269817192,72.391995088505
France,1992,225.088236937044,164.07718462586402,557.278854594594,86.8837217075565,7.11347722349588,74.11623410063339
France,1993,229.713365094044,170.023096365457,570.40338710354,89.3117139305889,7.18351866740871,74.1716930460409
France,1994,235.321520489602,181.676084062164,593.902735812626,94.331697851356,7.42094004176404,75.1524933677404
France,1995,242.4783,191.1726,618.3317,97.8122000000001,7.6625,79.20609999999999
France,1996,250.9624,203.1641,649.9395,107.0981,6.3851,82.3298
France,1997,253.2336,210.056,668.7814,117.7224,6.0307,81.7387
France,1998,236.7719,217.9758,694.5214,151.6585,6.1742,81.941
France,1999,247.8099,225.1531,727.0447,164.8119,6.9087,82.3611
France,2000,257.7484,228.6921,756.0065,174.235,7.7635,87.5675
France,2001,267.826,231.4058,786.539,185.3186,6.804,95.18459999999999
France,2002,278.1127,239.3311,800.9865,178.1055,7.5468,97.8904
France,2003,290.1855,244.8831,815.4686,177.6455,8.9359,93.81859999999999
France,2004,299.102,258.8919,855.6066,187.9567,10.6635,98.9925
France,2005,310.6986,270.9405,894.3411,198.8579,9.624199999999991,104.21990000000001
France,2006,327.2044,281.529,943.1782,217.1415,7.5837,109.7196
France,2007,339.5622,291.8699,981.3519,226.0171,7.3827,116.52000000000001
France,2008,349.0107,295.2,1010.5304,235.552,7.5121,123.25559999999999
France,2009,352.6067,290.8671,979.7734,205.2234,7.6099,123.4663
France,2010,360.249,294.7851,1009.2013,222.0979,5.0915,126.9778
France,2011,374.6411,312.1211,1066.3192,239.7767,8.9738,130.8065
France,2012,385.6016,321.2631,1100.9659,258.7105,7.1726,128.2181
France,2013,397.3552,330.661,1137.6462,270.6396,7.8803,131.1101
France,2014,407.2368,338.98,1159.1451,272.4581,8.436,132.0342
France,2015,411.4915,349.757,1182.3268,278.5416,10.014,132.5227
France,2016,416.5228,358.248,1196.6229,278.5872,9.9705,133.2944
France,2017,429.0751,374.586,1244.3869,293.92380000000003,12.5487,134.2533
France,2018,422.9873,389.537,1273.0161,311.4604,13.6874,135.344
France,2019,406.074,409.021,1287.9292,318.194,16.025,138.61520000000002
France,2020,390.712,390.305,1223.2726,306.198,9.044,127.01360000000001
France,2021,417.675,416.396,1326.2748,324.072,23.85,144.2818
France,2022,442.264,441.198,1424.9695,359.122,28.076,154.3095
France,2023,462.272,443.463,1455.038,357.272,28.909,163.12199999999999
France,2024,478.981284899189,455.556933962596,1501.56259092397,367.35877064488596,29.7672514012163,169.8983500160803
Italy,1961,1.46732134203796,1.57116262091966,4.0503965413789,0.6481951335524381,0.0285403730599388,0.33517707180890405
Italy,1962,1.73320394284532,1.74799463646948,4.68908364582363,0.811244218072573,0.0355298521766586,0.36111099625961024
Italy,1963,2.17439375297621,1.9365138254608099,5.46624598263612,0.898770567124792,0.0384421351419584,0.4181257019323579
Italy,1964,2.51390538169944,2.13976901574796,6.1957090623698905,1.0808253731534099,0.041354418107258296,0.41985487366182556
Italy,1965,2.55188861038621,2.2901778565604403,6.54573905523551,1.20186181012848,0.041354418107258296,0.4604563600531215
Italy,1966,2.73128632126062,2.45684711259591,7.09071385075675,1.29789071880291,0.05708074611987771,0.547608951977429
Italy,1967,3.12981804378945,2.8470970779472298,8.05581928888242,1.37741465879893,0.0664000516088373,0.635089456737971
Italy,1968,3.57509835547122,3.01833957576416,8.89175480004631,1.60448301576869,0.0640702252365974,0.629763627805649
Italy,1969,3.74689942060828,3.2500504926915004,9.53953241057082,1.74402502368623,0.073971987318617,0.724585486266186
Italy,1970,4.38618637727476,3.5711936933452,10.7217810608843,1.72001779651762,0.175319434511053,0.869063759235621
Italy,1971,4.9670375975000605,3.78308722921955,11.904766762249599,1.94858660518541,0.15027380100947402,1.055781529335116
Italy,1972,5.46257264252124,3.8745520648487703,12.945138195347601,2.3562093164857503,0.138042212555215,1.113761958936667
Italy,1973,6.62719686979391,4.46348397870578,15.2639227732332,2.69981275533646,0.129887820252375,1.3435413491447081
Italy,1974,8.301380718833629,5.52345979605326,19.079175666949798,3.3184990054941603,0.311614277287087,1.624221869281631
Italy,1975,10.2665745353504,5.5702084898193,21.9601248137187,4.1847597858281205,0.153186083974774,1.7853959187460748
Italy,1976,12.803269854261998,7.63274053325814,28.916321104148,6.00930905064239,0.357628348138825,2.1133733178467073
Italy,1977,15.3049037313087,9.901068456862712,36.636664529309094,8.16545814072307,0.7181689792429511,2.547065221171622
Italy,1978,18.1624112432823,11.3660302408574,44.2662130944244,11.1353522017064,0.27084231577288903,3.331577092805503
Italy,1979,22.9225863337806,12.8797732705209,53.333373079923,13.2249812665074,0.25103879160885,4.054993417505347
Italy,1980,28.6101365616004,17.3417328352995,70.5932636042257,18.899689588487302,0.474119666750821,5.26758495208772
Italy,1981,33.0111450505647,19.498953591486803,84.31721479786749,24.5098942866942,0.8232077758141889,6.4740140933074795
Italy,1982,40.459399128958395,25.094666057560502,108.26072594415801,32.6641918106122,2.3986054026760897,7.6438635443512695
Italy,1983,48.915556802244005,31.377662214817402,133.270239188335,39.6804478110793,4.02701640999748,9.26955595019718
Italy,1984,52.7189859009375,36.1026080133287,147.97999472897,46.0096787442257,1.9134829588487798,11.23523911162886
Italy,1985,59.4315215176792,39.216635476849504,165.246763201346,52.2529065393962,1.22430901287554,13.12139065454558
Italy,1986,66.4428468295564,43.7259628624405,187.67555800897298,58.6311392604593,1.40835546579147,17.467253590725427
Italy,1987,72.26003661327229,49.770534813103,204.143014367006,64.8463660339631,1.2163069931835402,16.04976991348447
Italy,1988,80.69368273418469,59.3417117673931,233.136654882299,74.3437125613912,1.52738550870992,17.230162310620052
Italy,1989,87.80937978888319,65.7636159406659,261.394839996978,85.7471286351263,2.18455137591517,19.89016425638719
Italy,1990,100.72180157968499,75.468517776046,298.008758044992,97.0665416438615,1.5964029285534,23.15549411684531
Italy,1991,112.805388942201,85.848263778787,334.275485869342,106.956902511111,2.54464226205504,26.120288375187684
Italy,1992,120.87680372038099,91.713499261011,371.516257232942,115.171202224314,17.051303711184,26.70344831605212
Italy,1993,126.15269299475901,100.591172762207,393.61078699084004,130.04174480227098,7.221822772027259,29.603353659575667
Italy,1994,131.051002140696,104.561454115497,400.460581856872,128.030671424714,3.50288412017167,33.314570055793624
Italy,1995,138.62,115.728,438.289,137.036,7.924,38.981
Italy,1996,150.052,120.769,468.772,151.324,4.286,42.341
Italy,1997,157.428,131.211,507.513,165.771,10.109,42.994
Italy,1998,138.42,168.553,513.774,155.751,7.5,43.550000000000004
Italy,1999,142.783,170.78,533.453,168.082,5.625,46.183
Italy,2000,145.872,178.425,547.045,171.067,4.648,47.033
Italy,2001,154.011,182.701,575.153,183.261,3.317,51.863
Italy,2002,161.691,190.078,591.19,180.544,5.35100000000001,53.525999999999996
Italy,2003,168.733,190.737,612.124,178.472,22.258,51.924
Italy,2004,176.713,199.155,629.663,185.289,12.164,56.342
Italy,2005,182.056,208.059,643.925,191.001,6.38,56.429
Italy,2006,184.419,224.967,685.63,213.472,4.384,58.388000000000005
Italy,2007,203.167,232.258,734.222,233.507,4.538,60.752
Italy,2008,213.021,222.498,742.417,239.88,4.001,63.016999999999996
Italy,2009,212.155,214.317,728.627,222.527,16.181,63.447
Italy,2010,213.718,225.694,738.388,226.675,6.197,66.104
Italy,2011,216.407,233.151,754.137,226.997,10.68,66.902
Italy,2012,215.906,247.794,775.551000000001,239.767,4.861,67.223
Italy,2013,215.394,242.256,778.629,241.037,9.202,70.74
Italy,2014,214.429,252.293,783.525,237.168,7.007,72.628
Italy,2015,219.171,250.287,794.792,242.566,9.544000000000018,73.224
Italy,2016,220.752,245.147,794.041,247.425,7.321,73.396
Italy,2017,225.992,250.821,807.248,250.161,7.245,73.029
Italy,2018,234.142,256.209,820.050000000001,248.561,4.637,76.501
Italy,2019,242.02,261.488,847.437,258.205,4.742,80.982
Italy,2020,230.337,231.18,791.669,251.102,5.706,73.34400000000001
Italy,2021,247.577,262.1,869.213,268.362,11.149,80.025
Italy,2022,260.268,279.901,934.972,290.412,17.838,86.553
Italy,2023,269.464,290.724,992.119,320.796,23.07,88.065
Italy,2024,272.674169885087,295.479162045986,1026.61647740581,341.27021580540696,26.012595616554698,91.1803340527762
Spain,1964,0.41837468140510603,0.595973796051814,1.66688709013197,0.23048205989443002,0.147770254349532,0.2742862984310848
Spain,1965,0.486607462063449,0.718121578575947,1.97222254486795,0.260923086672939,0.171411984118411,0.335158433437201
Spain,1966,0.566810905995187,0.85302105268227,2.29573015995827,0.301692318965586,0.19885144613373198,0.3753544361815
Spain,1967,0.8307640311735149,0.9630882852864341,2.80660344476023,0.340287192202625,0.22517849422293698,0.447285441874713
Spain,1968,0.936105867979379,1.02013532657518,3.12527254216776,0.367466680397723,0.254220810238173,0.547343856977305
