Country,Year,Revenue_Social_Contribution,Revenue_Taxes_Indirect,Revenue_Total,Revenue_Taxes_Direct,Revenue_Capital_Transfers,Revenue_Others
United States,2006,927.13525,997.0395,4614.16025,1795.88575,33.07775,861.0219999999999
United States,2007,966.12575,1036.8295,4840.5365,1892.49875,31.927,913.1555
United States,2008,993.187,1049.73975,4782.13025,1773.83175,33.695,931.6767500000001
United States,2009,969.231,1026.81775,4366.332,1362.617,25.206,982.46025
United States,2010,988.66975,1063.07375,4616.73875,1516.96325,19.89925,1028.13275
United States,2011,921.06075,1103.724,4831.06075,1741.09525,14.72075,1050.46
United States,2012,955.16,1136.11475,5024.18975,1851.58,21.891,1059.444
United States,2013,1109.4405,1185.8235,5568.9075,2047.754,26.17925,1199.71025
United States,2014,1158.80075,1237.71225,5806.985,2202.065,23.79875,1184.60825
United States,2015,1210.015,1273.45375,6078.955,2348.216,25.54825,1221.7220000000011
United States,2016,1244.366,1309.1255,6156.7465,2347.84975,25.27725,1230.128
United States,2017,1304.15525,1363.97175,6551.48875,2358.53375,263.21925,1261.6087499999999
United States,2018,1367.03775,1457.09375,6541.955,2384.975,28.903,1303.9455
United States,2019,1430.15925,1533.6315,6807.84575,2508.84475,21.44775,1313.7625
United States,2020,1455.04025,1521.265,6914.11625,2571.855,26.295,1339.6609999999998
United States,2021,1565.29625,1700.0885,7918.1335,3186.68925,37.8855,1428.174
United States,2022,1710.72975,1850.24775,9204.91025,3843.0265,82.92175,1717.9845
United States,2023,1822.64975,1893.1105,8975.92880695156,3499.7325,42.7365,1717.69955695156
United States,2024,1907.73588065738,1967.96219181595,9462.55038970308,3718.12864862232,40.0095940731363,1828.7140745343002
