Country,Year,GDP,GDP_r,GDPPOT,Deflator,pi,GDP_alt,Deflator_alt,GDP_r_alt,ygap,GDPPOT_alt,ygap_alt
Germany,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Germany,1970,403.8984884870741,1260.6449132902283,1258.32286038397,32.0390368635143,NA,403.8984884870741,32.0390368635143,1260.6449132902283,NA,1258.32286038397,0.0018436548400968533
Germany,1971,448.29820031077804,1300.1925916570142,1297.3548691356386,34.4793689171425,0.07340608145219019,448.29820031077804,34.4793689171425,1300.1925916570142,NA,1297.3548691356386,0.0021849253521830647
Germany,1972,488.7664543014549,1356.1583994615028,1336.3883291703735,36.0405137405433,0.04428254460969949,488.7664543014549,36.0405137405433,1356.1583994615028,NA,1336.3883291703735,0.014685298032082628
Germany,1973,544.3781014267552,1420.8324557191722,1375.4264653478172,38.3140249390778,0.061172328185026714,544.3781014267552,38.3140249390778,1420.8324557191722,NA,1375.4264653478172,0.03247909661917081
Germany,1974,589.181039694872,1433.5342994129649,1414.4848588215436,41.0998913619397,0.07018946268126536,589.181039694872,41.0998913619397,1433.5342994129649,NA,1414.4848588215436,0.013377525655529965
Germany,1975,617.171675377878,1421.1097965573658,1453.6074694891095,43.4288523570082,0.055118542839998064,617.171675377878,43.4288523570082,1421.1097965573658,NA,1453.6074694891095,-0.022610263464652114
Germany,1976,669.131883034327,1491.4969048377604,1492.8501631484405,44.8631090593589,0.032491811439740115,669.131883034327,44.8631090593589,1491.4969048377604,NA,1492.8501631484405,-9.069041720710658e-4
Germany,1977,712.97155812968,1541.250453379077,1532.2484945518804,46.2592926780033,0.030646534027171324,712.97155812968,46.2592926780033,1541.250453379077,NA,1532.2484945518804,0.005857808784536012
Germany,1978,760.4626726938841,1587.7314646517414,1571.8371726653281,47.8961770062727,0.03477332271032196,760.4626726938841,47.8961770062727,1587.7314646517414,NA,1571.8371726653281,0.010061136748470645
Germany,1979,825.908564769035,1653.7367036522028,1611.65653267895,49.9419625231183,0.04182589244488666,825.908564769035,49.9419625231183,1653.7367036522028,NA,1611.65653267895,0.025774843970824968
Germany,1980,883.20032207939,1676.810809486842,1651.7568437154046,52.6714353868984,0.053211703881727246,883.20032207939,52.6714353868984,1676.810809486842,NA,1651.7568437154046,0.015054186390050184
Germany,1981,924.945459810708,1685.7964144489606,1692.214675004208,54.8669727781481,0.04083829316716825,924.945459810708,54.8669727781481,1685.7964144489606,NA,1692.214675004208,-0.0038000279505920886
Germany,1982,963.498388190422,1679.0849479453398,1733.1222545034834,57.3823491997492,0.044825172057341156,963.498388190422,57.3823491997492,1679.0849479453398,NA,1733.1222545034834,-0.031675582071526875
Germany,1983,1006.12838395254,1705.4315910486398,1774.567798758508,58.9955287115263,0.027724905678281786,1006.12838395254,58.9955287115263,1705.4315910486398,NA,1774.567798758508,-0.039738688338124994
Germany,1984,1055.10919621415,1753.6320591034007,1816.6057509979585,60.1670795613538,0.01966369511333088,1055.10919621415,60.1670795613538,1753.6320591034007,NA,1816.6057509979585,-0.0352806884004222
Germany,1985,1102.61151151293,1794.4000183533567,1859.2473443206932,61.4473640345116,0.021055587392790898,1102.61151151293,61.4473640345116,1794.4000183533567,NA,1859.2473443206932,-0.03550103778773561
Germany,1986,1161.6617841503,1835.5007772066688,1902.4644532681377,63.2885476582668,0.02952345212183438,1161.6617841503,63.2885476582668,1835.5007772066688,NA,1902.4644532681377,-0.03583277897225656
Germany,1987,1193.02384093799,1861.2372641976526,1946.1884228029876,64.0984287111983,0.012715459428863873,1193.02384093799,64.0984287111983,1861.2372641976526,NA,1946.1884228029876,-0.04463134238614064
Germany,1988,1258.16731317983,1930.182256534121,1990.308745590399,65.1838606909082,0.016792052334797525,1258.16731317983,65.1838606909082,1930.182256534121,NA,1990.308745590399,-0.030675343344394257
Germany,1989,1344.82739652493,2005.5613588652702,2034.6618198214005,67.054911612668,0.028299957155031308,1344.82739652493,67.054911612668,2005.5613588652702,NA,2034.6618198214005,-0.014405622123353723
Germany,1990,1463.57758440458,2110.7260335346987,2079.04646463136,69.3400072369231,0.033510184595361814,1463.57758440458,69.3400072369231,2110.7260335346987,NA,2079.04646463136,0.015122621888437493
Germany,1991,1591.61,2238.509,2153.479,71.10134468970195,0.02508420465885397,1585.8,71.4736581593815,2218.71951266825,0.03872534534301053,2123.2433113675484,0.04398544989093711
Germany,1992,1709.89,2283.597,2222.924,74.87704704464053,0.05174114627187176,1702.06,75.2686605359121,2261.3129925275007,0.02692838502847117,2167.0527911078007,0.042577531095026266
Germany,1993,1757.34,2261.371,2280.444,77.71126453819386,0.03715282606104697,1750.89,78.1918936120538,2239.2218926004994,-0.008398894327305229,2210.3350075557655,0.012984344974655393
Germany,1994,1838.02,2320.112,2327.94,79.2211755294572,0.01924340926284973,1829.55,79.7906938204868,2292.9365724229997,-0.003368295966135193,2253.0089770409786,0.0175666961734251
Germany,1995,1899.93,2355.039,2367.507,80.67509710030279,0.018186310655567084,1894.61,81.3742500736613,2328.2672323062493,-0.00528021493829911,2295.011770196128,0.014386341665701963
Germany,1996,1928.56,2379.488,2403.296,81.04936860366601,0.004628516407918504,1921.38,81.8564139949576,2347.256502243499,-0.00995579003747693,2336.3054124010155,0.004676402276414748
Germany,1997,1967.18,2423.623,2437.408,81.1669141611546,0.00144924511964728,1961.15,82.0850227081922,2389.1691021049987,-0.005671651529293165,2376.8727136992625,0.005160011667669551
Germany,1998,2022.31,2474.426,2473.639,81.72844934542395,0.0068944553913796724,2014.42,82.6450189736475,2437.4366719454993,3.181041504651816e-4,2416.703328565642,0.00854259228769294
Germany,1999,2077.24,2527.134,2513.543,82.19746163044776,0.005722262722477112,2059.48,82.9286984332023,2483.4346117935,0.005392542682247203,2455.79459671768,0.011192152635127073
Germany,2000,2129.66,2599.846,2555.259,81.91485187968826,-0.003444105126193975,2109.09,82.5303257621916,2555.533351555249,0.017298624122889628,2494.156816212515,0.024310227361437953
Germany,2001,2195.53,2642.393,2594.891,83.08870028038979,0.01422839919272434,2172.54,83.6024338892555,2598.65640141275,0.018140434101960423,2531.817560116708,0.026057094749523557
Germany,2002,2223.36,2636.361,2630.111,84.33442916201537,0.014881478747304833,2198.12,84.7570480000686,2593.43624143,0.002373506565356287,2568.842761831409,0.009528220247976726
Germany,2003,2240.81,2622.39,2662.444,85.44915134667231,0.013131283943444316,2211.57,85.8794258995181,2575.2035214902508,-0.015158382251135194,2605.3401290335783,-0.011634665984964876
Germany,2004,2293.04,2652.872,2694.485,86.43613412181215,0.011484329448847141,2262.52,86.8298999141026,2605.6922813895007,-0.015564264755970392,2641.432740324925,-0.013623083702809069
Germany,2005,2325.71,2676.368,2727.868,86.89799011197265,0.00532909587459951,2288.31,87.1868035549394,2624.6059113270016,-0.01905970021798975,2677.2248389274446,-0.01984999439638724
Germany,2006,2426.18,2779.562,2766.656,87.28641419043718,0.004459925374640683,2385.08,87.5356112697724,2724.6968009962484,0.004653990627458526,2712.798330276296,0.004376459904437802
Germany,2007,2542.22,2859.894,2805.899,88.89210579133352,0.018228511196848984,2499.55,89.0803553506171,2805.9497407277518,0.019060574473324543,2748.20223297689,0.020795105722616114
Germany,2008,2589.68,2885.931,2842.994,89.73464715545866,0.009433610571472961,2546.49,89.8904131635828,2832.8827406387495,0.0149898293220323,2783.4930021788364,0.017588214863820006
Germany,2009,2494.87,2725.901,2866.627,91.52460048989307,0.019750843557893916,2445.73,91.5485415589627,2671.5117011720004,-0.050337061619360135,2818.763185224089,-0.05365370953588666
Germany,2010,2616.06,2838.938,2881.855,92.14924735939988,0.00680172256433309,2564.4,92.1342738284591,2783.3290408025005,-0.01500414545171136,2854.136198041139,-0.025121531757564597
Germany,2011,2747.81,2945.624,2907.148,93.28447894232258,0.01224422103190026,2693.56,93.1295686331325,2892.2715304425005,0.013148147335778404,2889.6434243809463,9.0907813867247e-4
Germany,2012,2800.38,2959.595,2953.515,94.6203788018293,0.014219136041307756,2745.31,94.5158357660936,2904.60321040175,0.002056448177924608,2925.2719935211944,-0.0070906731257682765
Germany,2013,2867.28,2971.026,2999.216,96.50807498823639,0.01975380988238218,2811.35,96.3727806194757,2917.16186036025,-0.009443573476890066,2961.0106773058583,-0.014919477107396162
Germany,2014,2985.17,3035.482,3047.067,98.34253670422028,0.018829973415689594,2927.43,98.1750753750641,2981.8464501465005,-0.00380926286287675,2996.8353295894603,-0.005014118964213665
Germany,2015,3085.65,3085.65,3098.851,100,0.016713529093749457,3026.18,100,3026.18,-0.004269065539459049,3032.6943987159334,-0.002150366816506377
Germany,2016,3196.11,3156.457,3146.95,101.25625028314975,0.012484249284868021,3134.74,101.327752229999,3093.6638097770133,0.003016466240792326,3068.5269649795587,0.0081584569977462
Germany,2017,3331.11,3242.187,3189.621,102.74268572417323,0.014573230403402526,3267.16,102.851457155791,3176.5811495029893,0.016346001133200616,3104.2680371754195,0.023027557451706926
