Country,Year,Expenditure_Total,Revenue_Total,Total_Debt,Expenditure_Interest,SFA,IR,Surplus,Primary_Surplus
Spain,2004,333.666,332.725,456.06,17.104,14.302000000000021,3.8800681461921838,-0.9409999999999741,16.163000000000025
Spain,2005,356.785,368.206,468.129,16.201,23.49000000000001,3.5523834583168887,11.420999999999992,27.621999999999993
Spain,2006,385.757,407.079,462.718,16.168,15.911000000000001,3.4537488598228263,21.322000000000003,37.49
Spain,2007,422.164,442.451,455.521,17.009,13.090000000000032,3.675888986380474,20.287000000000035,37.296000000000035
Spain,2008,459.813,409.082,529.082,17.542,22.829999999999984,3.850975037374786,-50.730999999999995,-33.18899999999999
Spain,2009,494.353,373.777,672.247,18.355,22.589,3.4692164919615487,-120.57600000000002,-102.22100000000002
Spain,2010,493.817,391.624,725.007,20.437,-49.43299999999999,3.040102819350626,-102.19299999999998,-81.75599999999999
Spain,2011,490.908,387.333,835.595,26.562,7.0130000000000905,3.6636887643843443,-103.57499999999999,-77.01299999999999
Spain,2012,509.936,390.842,1001.775,31.353,47.085999999999956,3.7521765927273383,-119.094,-87.74099999999999
Spain,2013,473.398,396.593,1135.99,36.553,57.40999999999997,3.648823338574031,-76.805,-40.25200000000001
Spain,2014,467.841,405.125,1281.56,36.706,82.85399999999993,3.2311904154085864,-62.71600000000001,-26.010000000000005
Spain,2015,474.893,417.645,1307.839,33.368,-30.968999999999994,2.603701738506196,-57.24799999999999,-23.87999999999999
Spain,2016,472.717,425.316,1349.65,31.226,-5.589999999999861,2.387602755385028,-47.40100000000001,-16.17500000000001
Spain,2017,479.908,444.005,1386.224,29.613,0.6709999999998217,2.194124402622902,-35.90300000000002,-6.2900000000000205
Spain,2018,503.193,472.25,1415.993,29.593,-1.1739999999999782,2.1347920682371684,-30.942999999999984,-1.3499999999999837
Spain,2019,526.769,488.347,1501.255,28.231,46.840000000000146,1.9937245452484584,-38.422000000000025,-10.191000000000024
Spain,2020,580.164,468.267,1656.401,25.127,43.249000000000024,1.6737329767427915,-111.89699999999999,-86.77
Spain,2021,611.124,528.95,1721.023,26.17,-17.552000000000135,1.5799314296477727,-82.17399999999998,-56.00399999999998
Spain,2022,637.117,574.012,1561.739,31.775,-222.3889999999999,1.8462856103608145,-63.10500000000002,-31.33000000000002
Spain,2023,680.952,628.283,1663.988,35.707,49.58000000000004,2.2863615495290825,-52.66899999999998,-16.961999999999982
Spain,2024,713.199269696654,665.5956330014151,1739.03945369638,40.427053262395894,27.447817001140947,2.4295279330377317,-47.60363669523895,-7.176583432843053
