Country,Year,Revenue_Total,Revenue_Social_Contribution,Revenue_Taxes_Indirect,Revenue_Taxes_Direct,Revenue_Capital_Transfers,Revenue_Others
Spain,1964,1.66688709013197,0.41837468140510603,0.595973796051814,0.23048205989443002,0.147770254349532,0.2742862984310848
Spain,1965,1.97222254486795,0.486607462063449,0.718121578575947,0.260923086672939,0.171411984118411,0.335158433437201
Spain,1966,2.29573015995827,0.566810905995187,0.85302105268227,0.301692318965586,0.19885144613373198,0.3753544361815
Spain,1967,2.80660344476023,0.8307640311735149,0.9630882852864341,0.340287192202625,0.22517849422293698,0.447285441874713
Spain,1968,3.12527254216776,0.936105867979379,1.02013532657518,0.367466680397723,0.254220810238173,0.547343856977305
Spain,1969,3.62730105215523,1.09232302369717,1.2248335335524398,0.417476938676703,0.291083885127155,0.601583671101771
Spain,1970,4.13168588069167,1.21921205439514,1.3731558409031701,0.491405146567369,0.32148261267252,0.7264302261534761
Spain,1971,4.68536724815292,1.5106977051022699,1.48993449012954,0.5946872017087409,0.362682658485815,0.7273651927265621
Spain,1972,5.576748970066141,1.85126307523032,1.7785254048843602,0.695794897794505,0.425644152829572,0.825521439327386
Spain,1973,6.928906853593681,2.26185682550772,2.2234923269365603,0.881159007285072,0.513423478924366,1.048975214939972
Spain,1974,8.22323042193613,2.80053667281043,2.37449920093617,1.0969641435541502,0.628759156135826,1.322471248499555
Spain,1975,10.198148397271401,3.7150953468976997,2.71074117370865,1.43616415622897,0.7381899009651429,1.5979578194709347
Spain,1976,12.616730643796801,4.76552104913799,3.22416454530734,1.84276929962763,0.888319444759581,1.8959563049641992
Spain,1977,16.6546597011024,6.49288775948868,4.11544067273618,2.4369129115724704,1.12701074875328,2.482407608551805
Spain,1978,20.7496750257153,8.4369234750878,4.6536962858370305,3.36808217713653,1.37963916023278,2.911333927421114
Spain,1979,25.1537384730635,10.276814420208401,5.53020729669702,4.3161027253815405,1.61390482132309,3.4167092094533995
Spain,1980,30.454037114928198,11.919189421318,6.583228564721,5.81641047375094,1.85439327865048,4.28081537648781
Spain,1981,35.7978092205634,13.6024405806215,8.10594661312353,6.70672221859987,2.08063653359876,5.3020632746197105
Spain,1982,41.6943703574186,15.6243764737203,9.92733912241188,7.31912048849905,2.39281760131992,6.43071667146744
Spain,1983,50.0745817435523,18.2776063494231,12.3910773608978,9.601196552562799,2.72458657702259,7.08011490364599
Spain,1984,55.9266276172109,19.6401242625884,14.8124273025332,11.4548684457554,3.0744262245373997,6.94478138179643
Spain,1985,64.2330873399044,21.9038068561346,17.522017662752702,13.063031794871799,3.41617394581555,8.32805708032977
Spain,1986,74.5579878640871,24.6531423845233,22.332086287825803,14.4847767354597,3.91108471321723,9.17689774306109
Spain,1987,86.35309873708239,27.5907238956456,24.777828251844003,20.2148562101314,4.37343325821469,9.39625712124671
Spain,1988,95.6233910028901,30.157714569286,27.3273090696381,22.895221863664798,4.86896648148073,10.37417901882038
Spain,1989,112.246334223701,34.651423530153096,30.578668587978502,29.627506041275797,5.456136879027681,11.93259918526597
Spain,1990,124.80002975786,39.5469993068247,32.6731429142116,32.8321606003752,6.077133862453319,13.67059307399489
Spain,1991,139.669546769375,44.289735868674796,35.4576775905609,36.031359499687305,6.66410974254267,17.22666406791003
Spain,1992,157.780345022701,50.8205142100952,40.0018333309555,40.0669110444028,7.1774413131801795,19.71364512406761
Spain,1993,164.262895470695,53.6725293654295,38.351203720877095,39.717203252032505,7.42562613734706,25.0963329950088
Spain,1994,167.503041841938,55.6960261516164,43.1205646944686,40.4417148717949,7.89762274824207,20.34711337581529
Spain,1995,171.795,56.187,46.02,43.618,5.654,20.316
Spain,1996,180.897,58.634,49.23,46.093,5.985,20.955
Spain,1997,195.271,63.111,53.904,50.406,6.389,21.461
Spain,1998,213.003,67.929,61.496,54.869,6.773,21.936
Spain,1999,230.397,73.986,67.814,57.86,7.747,22.990000000000002
Spain,2000,245.747,80.509,72.939,62.882,6.735,22.682000000000002
Spain,2001,266.006,88.138,76.726,67.52,7.655,25.96699999999998
Spain,2002,287.171,94.039,82.033,75.736,9.297,26.066
Spain,2003,304.787,101.025,89.95,77.381,9.75699999999999,26.674
Spain,2004,332.725,108.469,100.46,86.08,10.532,27.184
Spain,2005,368.206,116.666,112.258,99.8809999999998,10.135,29.266
Spain,2006,407.079,126.296,122.204,114.702,9.97699999999999,33.9
Spain,2007,442.451,135.643,122.839,135,10.179,38.79
Spain,2008,409.082,140.997,104.356,113.916,8.994,40.819
Spain,2009,373.777,138.19,86.108,97.621,9.164,42.694
Spain,2010,391.624,136.975,105.981,97.247,9.176,42.24499999999999
Spain,2011,387.333,135.458,102.441,98.373,8.394,42.667
Spain,2012,390.842,129.823,105.324,102.973,9.554,43.168
Spain,2013,396.593,126.856,112.744,102.233,10.302,44.458
Spain,2014,405.125,128.966,118.365,104.395,10.207,43.19199999999999
Spain,2015,417.645,131.508,126.349,107.107,11.639,41.042
Spain,2016,425.316,135.573,128.812,110.002,9.047,41.882000000000005
Spain,2017,444.005,142.43,135.067,116.938,8.738,40.831999999999994
Spain,2018,472.25,149.45,141.184,127.284,11.701,42.631
Spain,2019,488.347,160.656,143.058,129.117,9.95200000000002,45.56399999999999
Spain,2020,468.267,162.174,126.756,125.348,11.46,42.529
Spain,2021,528.95,171.687,146.953,143.485,18.64,48.185
Spain,2022,574.012,180.086,160.429,164.77,16.603,52.124
Spain,2023,628.283,197.037,165.546,183.162,21.529,61.009
Spain,2024,665.5956330014151,210.351458283811,170.416096660773,194.858227798898,23.877235623087003,66.0926146348456
