Country,Year,GDP,GDP_r,GDPPOT,Deflator,pi,GDP_alt,Deflator_alt
Spain,2001,700.958,915.98,881.235,76.5254699884277,0.040780484539714834,700.993,77.0588852594629
Spain,2002,749.744,941.22,908.303,79.65661588151549,0.040101468376303906,749.552,80.2065758194081
Spain,2003,802.683,968.885,940.505,82.84605500136756,0.03925903176015666,802.266,83.3615015743506
Spain,2004,860.059,999.061,972.104,86.08673544458246,0.03837121310656677,859.437,86.5976926542821
Spain,2005,928.122,1034.54,1006.653,89.71349585322946,0.04126587350222799,927.357,90.1491448662867
Spain,2006,1004.976,1076.371,1041.866,93.36706395843069,0.03991743557628524,1003.823,93.7365655977463
Spain,2007,1077.541,1114.405,1081.123,96.69204642836311,0.03499250034464829,1075.539,96.939069108496
Spain,2008,1112.432,1122.954,1113.078,99.06300703323556,0.02422493326376074,1109.541,99.1244814648829
Spain,2009,1072.99,1080.64,1126.683,99.29208617115782,0.002309789338592161,1069.323,99.2669093409803
Spain,2010,1077.145,1081.657,1141.264,99.582862219724,0.002924212004793425,1072.709,99.4192635775358
Spain,2011,1068.69,1074.735,1149.144,99.43753576463035,-0.0014604179510753212,1063.763,99.3996388753623
Spain,2012,1035.964,1043.943,1146.354,99.23568623957438,-0.0020319758493014817,1031.104,99.2856235673781
Spain,2013,1025.652,1029.042,1140.967,99.67056738208937,0.0043727316515740355,1020.677,99.6805550732726
Spain,2014,1038.949,1044.689,1140.174,99.45055418406818,-0.002209843795829336,1032.608,99.4575470762849
Spain,2015,1087.112,1087.112,1142.33,100,0.005509608214263828,1078.092,100
Spain,2016,1122.967,1118.803,1145.828,100.37218348538572,0.003714925963709703,1114.42,100.322004956909
Spain,2017,1170.024,1151.204,1152.423,101.63481016396746,0.012500984235934709,1162.492,101.625489157988
Spain,2018,1212.276,1178.78,1160.759,102.8415819745839,0.011803668963904279,1203.859,102.891197947316
Spain,2019,1253.71,1201.898,1172.044,104.31084834153981,0.014185602391095564,1245.513,104.38048985086
Spain,2020,1129.214,1070.41,1175.731,105.49359591184685,0.011274881273553028,1119.01,105.567879135266
Spain,2021,1235.474,1141.947,1186.45,108.19013491869588,0.025239938935709638,1222.29,108.372104257967
Spain,2022,1373.629,1212.511,1208.026,113.2879619236444,0.04604272506641838,1346.377,112.861227073462
Spain,2023,1498.324,1244.954,1235.864,120.35175596849362,0.06048584181933414,NA,NA
Spain,2024,1589.85,1281.891,1265.806,124.02380545615812,0.03005477202672857,NA,NA
Spain,2025,1666.946,1311.965,1296.381,127.0572004588537,0.024163855709494975,NA,NA
Spain,2026,1735.332,1339.646,1326.044,129.5366089250444,0.019326153216971065,NA,NA
